time, bus(V), shunt (mV), load (V), current (mA), power (mW)
1.560424 3.30,0.27,3.30,2.90,10.00
1.614002 3.30,0.30,3.30,2.50,10.00
1.671112 3.30,0.28,3.30,2.30,6.00
1.724239 3.30,0.31,3.30,2.80,10.00
1.781507 3.30,0.29,3.30,2.70,10.00
1.835128 3.30,0.28,3.30,2.90,10.00
1.891995 3.30,0.27,3.30,2.90,10.00
1.945665 3.30,0.28,3.30,2.70,10.00
1.998956 3.30,0.30,3.30,2.60,10.00
2.056151 3.30,0.28,3.30,2.90,10.00
2.109218 3.30,0.27,3.30,2.80,10.00
2.166850 3.30,0.29,3.30,2.70,10.00
2.219849 3.30,0.28,3.30,2.70,10.00
2.277386 3.30,0.26,3.30,2.70,10.00
2.330384 3.30,0.29,3.30,2.90,10.00
2.387736 3.30,0.27,3.30,2.70,10.00
2.441359 3.30,0.25,3.30,2.80,10.00
2.498333 3.30,0.26,3.30,2.80,10.00
2.551751 3.30,0.25,3.30,2.80,10.00
2.609246 3.30,0.30,3.30,2.80,10.00
2.662446 3.30,0.28,3.30,2.70,10.00
2.719533 3.30,0.28,3.30,2.70,10.00
2.772855 3.30,0.27,3.30,2.80,10.00
2.830147 3.30,0.29,3.30,2.50,10.00
2.883428 3.30,0.28,3.30,2.40,6.00
2.940898 3.30,0.25,3.30,2.90,10.00
2.994222 3.30,0.28,3.30,2.50,10.00
3.051398 3.30,0.28,3.30,2.70,10.00
3.104553 3.30,0.28,3.30,2.50,10.00
3.161820 3.30,0.26,3.30,2.70,10.00
3.215214 3.30,0.27,3.30,3.00,10.00
3.272515 3.30,0.26,3.30,3.10,10.00
3.325919 3.30,0.28,3.30,2.60,10.00
3.383340 3.30,0.28,3.30,2.90,10.00
3.436304 3.30,0.24,3.30,2.60,10.00
3.493832 3.30,0.30,3.30,2.80,10.00
3.547226 3.30,0.28,3.30,2.80,10.00
3.604192 3.30,0.29,3.30,2.80,10.00
3.657668 3.30,0.30,3.30,2.50,10.00
3.714910 3.30,0.27,3.30,2.80,10.00
3.768115 3.30,0.28,3.30,2.70,10.00
3.825385 3.30,0.27,3.30,2.80,10.00
3.879059 3.30,0.27,3.30,2.80,10.00
3.935844 3.30,0.30,3.30,2.70,10.00
3.989270 3.30,0.26,3.30,2.70,10.00
4.042608 3.30,0.25,3.30,2.70,10.00
4.099823 3.30,0.29,3.30,2.80,10.00
4.153024 3.30,0.25,3.30,2.80,10.00
4.210362 3.30,0.28,3.30,2.80,10.00
4.263986 3.30,0.27,3.30,2.80,10.00
4.320963 3.30,0.28,3.30,2.60,10.00
4.374219 3.30,0.30,3.30,2.80,10.00
4.431381 3.30,0.26,3.30,2.50,10.00
4.485141 3.30,0.27,3.30,2.80,10.00
4.542215 3.30,0.29,3.30,3.00,10.00
4.595667 3.30,0.29,3.30,2.60,10.00
4.652975 3.30,0.28,3.30,3.00,10.00
4.706079 3.30,0.26,3.30,2.50,10.00
4.763276 3.30,0.28,3.30,3.00,10.00
4.816745 3.30,0.28,3.30,2.90,10.00
4.874186 3.30,0.25,3.30,2.70,10.00
4.927561 3.30,0.29,3.30,3.00,10.00
4.984781 3.30,0.27,3.30,2.90,10.00
5.037812 3.30,0.27,3.30,2.50,10.00
5.094957 3.30,0.24,3.30,3.00,10.00
5.148527 3.30,0.29,3.30,2.90,10.00
5.205929 3.30,0.28,3.30,2.90,10.00
5.259275 3.30,0.28,3.30,2.50,10.00
5.316129 3.30,0.29,3.30,2.70,10.00
5.369534 3.30,0.25,3.30,2.80,10.00
5.426731 3.30,0.25,3.30,2.90,10.00
5.480229 3.30,0.25,3.30,2.70,10.00
5.537528 3.30,0.29,3.30,2.70,10.00
5.591004 3.30,0.40,3.30,4.00,14.00
5.648220 3.30,0.41,3.30,4.10,14.00
5.701379 3.30,0.40,3.30,4.30,14.00
5.758546 3.29,0.41,3.29,4.10,14.00
5.812300 3.30,0.40,3.30,4.30,14.00
5.869039 3.30,0.38,3.30,4.10,14.00
5.922443 3.30,0.41,3.30,4.00,14.00
5.976088 3.30,0.42,3.30,4.00,14.00
6.033268 3.30,0.43,3.30,4.10,14.00
6.086291 3.30,0.41,3.30,4.40,14.00
6.143732 3.30,0.43,3.30,4.10,14.00
6.197259 3.30,0.43,3.30,4.30,14.00
6.254222 3.30,0.41,3.30,3.80,14.00
6.307712 3.30,0.39,3.30,3.90,14.00
6.365092 3.30,0.43,3.30,4.10,14.00
6.418077 3.30,0.39,3.30,3.80,14.00
6.475192 3.30,0.40,3.30,4.10,14.00
6.528614 3.30,0.40,3.30,4.00,14.00
6.585927 3.29,0.42,3.29,3.90,14.00
6.639432 3.22,4.16,3.22,41.90,132.00
6.696500 3.21,4.11,3.22,41.10,132.00
6.749765 3.22,4.11,3.22,41.30,132.00
6.807252 3.21,4.15,3.22,41.50,134.00
6.860750 3.21,4.14,3.22,41.10,134.00
6.918110 3.21,4.16,3.22,41.00,132.00
6.971103 3.21,4.12,3.22,41.50,132.00
7.028652 3.22,4.13,3.22,41.30,134.00
7.082000 3.22,4.02,3.22,40.10,128.00
7.139243 3.21,4.23,3.22,42.60,138.00
7.196089 3.21,4.25,3.22,42.10,134.00
7.249587 3.21,4.28,3.22,42.70,138.00
7.307044 3.21,4.27,3.22,42.60,138.00
7.360391 3.21,4.29,3.21,43.00,138.00
7.417509 3.21,4.23,3.21,43.20,138.00
7.470716 3.21,4.27,3.21,42.30,138.00
7.527925 3.21,4.27,3.21,42.40,138.00
7.581563 3.21,4.23,3.21,42.40,138.00
7.638919 3.21,4.27,3.22,42.30,134.00
7.692401 3.21,4.27,3.22,42.80,134.00
7.749195 3.21,4.28,3.22,42.90,138.00
7.802576 3.21,4.30,3.22,42.80,138.00
7.860162 3.21,4.31,3.22,43.00,138.00
7.913546 3.21,4.25,3.22,42.90,138.00
7.970376 3.21,4.29,3.22,42.70,138.00
8.024103 3.21,4.22,3.21,42.50,138.00
8.081296 3.21,4.23,3.21,42.10,134.00
8.134462 3.19,5.34,3.19,55.50,176.00
8.191715 2.77,21.51,2.79,232.30,652.00
8.244934 3.04,12.76,3.05,119.50,364.00
8.302089 3.04,12.06,3.05,120.40,364.00
8.355621 2.98,14.62,2.99,146.10,436.00
8.413081 2.98,14.63,2.99,146.10,436.00
8.466325 2.98,14.63,2.99,146.50,436.00
8.523330 2.88,11.71,2.90,156.80,476.00
8.580712 3.04,11.94,3.05,119.40,360.00
8.634066 3.04,11.82,3.05,118.80,360.00
8.691412 3.04,11.97,3.05,119.60,364.00
8.744854 3.04,12.38,3.05,119.70,364.00
8.802091 3.04,12.07,3.05,120.40,368.00
8.855133 3.04,11.99,3.05,120.80,368.00
8.912419 3.21,4.31,3.22,42.70,138.00
8.965725 3.21,4.26,3.22,43.00,138.00
9.023291 3.21,4.21,3.21,43.00,138.00
9.076278 3.21,4.29,3.21,42.20,134.00
9.133397 3.21,4.27,3.22,42.90,138.00
9.186720 3.21,4.31,3.21,42.90,138.00
9.244298 3.21,4.35,3.21,43.90,138.00
9.297502 3.04,11.95,3.05,119.90,364.00
9.355143 3.21,4.25,3.22,42.30,138.00
9.408465 3.21,4.25,3.22,42.40,138.00
9.465605 3.04,11.66,3.06,117.20,384.00
9.518637 3.04,12.03,3.05,119.80,364.00
9.576256 3.21,4.37,3.21,43.20,138.00
9.633208 3.20,4.38,3.21,43.60,140.00
9.686925 3.01,14.01,3.02,133.70,400.00
9.744059 3.16,6.43,3.17,64.80,206.00
9.797422 3.16,6.43,3.17,64.60,204.00
9.854385 3.16,6.41,3.17,64.10,204.00
9.908096 3.16,6.43,3.17,64.00,204.00
9.964936 3.16,6.44,3.17,64.30,204.00
10.018462 3.16,6.45,3.17,64.60,204.00
10.075495 3.16,6.50,3.17,78.10,240.00
10.129345 3.16,6.47,3.17,64.80,204.00
10.186142 3.14,8.69,3.14,64.90,206.00
10.239871 3.16,6.42,3.17,64.60,206.00
10.297142 3.04,12.04,3.05,120.90,368.00
10.350163 3.21,4.35,3.21,44.90,140.00
10.407398 3.20,4.30,3.21,45.10,144.00
10.460896 3.20,4.32,3.21,43.20,138.00
10.518001 3.01,13.51,3.02,135.10,406.00
10.571235 3.01,13.27,3.03,132.60,404.00
10.628673 3.18,5.76,3.18,57.00,180.00
10.682091 3.18,5.76,3.19,57.20,180.00
10.739283 2.98,14.10,3.00,139.10,416.00
10.792300 3.04,11.94,3.05,119.20,370.00
10.850010 3.21,4.25,3.22,42.80,138.00
10.907199 3.04,11.89,3.05,174.60,416.00
10.960472 3.03,12.01,3.04,120.40,364.00
11.017515 3.21,4.37,3.21,43.40,138.00
11.071020 3.20,4.38,3.21,43.80,140.00
11.128250 2.99,14.25,3.00,142.30,422.00
